?,Data Tyoe,,,,,,
id,R,3,,,,,
circle_id,R,109,,,,,
loc_og_t2o_mou,R,0,,,,,
std_og_t2o_mou,R,0,,,Redundant R,,float
loc_ic_t2o_mou,R,0,,,circle_id,,
last_date_of_month_6,R,6/30/2014,,," 'loc_og_t2o_mou',",,
last_date_of_month_7,R,7/31/2014,,," 'std_og_t2o_mou',",,
last_date_of_month_8,R,8/31/2014,,," 'loc_ic_t2o_mou',",,
arpu_6,F,156.362,,," 'last_date_of_month_6',",,
arpu_7,F,205.26,,," 'last_date_of_month_7',",,
arpu_8,F,111.095,,," 'last_date_of_month_8',",,
onnet_mou_6,F,7.26,,," 'std_og_t2c_mou_6',",,
onnet_mou_7,F,16.01,,," 'std_og_t2c_mou_7',",,
onnet_mou_8,F,0,,," 'std_og_t2c_mou_8',",,
offnet_mou_6,F,68.76,,," 'std_ic_t2o_mou_6',",,
offnet_mou_7,F,78.48,,," 'std_ic_t2o_mou_7',",,
offnet_mou_8,F,50.23,,, 'std_ic_t2o_mou_8'],,
roam_ic_mou_6,F,0,,,,,
roam_ic_mou_7,F,0,,,,,
roam_ic_mou_8,F,0,,,,,
roam_og_mou_6,F,0,,,,,
roam_og_mou_7,F,0,,,,,
roam_og_mou_8,F,1.63,,,,,
loc_og_t2t_mou_6,F,6.99,,,,,
loc_og_t2t_mou_7,F,3.94,,,,,
loc_og_t2t_mou_8,F,0,,,,,
loc_og_t2m_mou_6,F,37.91,,,,,
loc_og_t2m_mou_7,F,44.89,,,,,
loc_og_t2m_mou_8,F,23.63,,,,,
loc_og_t2f_mou_6,F,0,,,,,
loc_og_t2f_mou_7,F,0,,,,,
loc_og_t2f_mou_8,F,0,,,,,
loc_og_t2c_mou_6,F,0,,,,,
loc_og_t2c_mou_7,F,0,,,,,
loc_og_t2c_mou_8,F,8.03,,,,,
loc_og_mou_6,F,44.91,,,,,
loc_og_mou_7,F,48.84,,,,,
loc_og_mou_8,F,23.63,,,,,
std_og_t2t_mou_6,F,0.26,,,,,
std_og_t2t_mou_7,F,12.06,,,,,
std_og_t2t_mou_8,F,0,,,,,
std_og_t2m_mou_6,F,15.33,,,,,
std_og_t2m_mou_7,F,25.93,,,,,
std_og_t2m_mou_8,F,4.6,,,,,
std_og_t2f_mou_6,F,0.56,,,,,
std_og_t2f_mou_7,F,0,,,,,
std_og_t2f_mou_8,F,0,,,,,
std_og_t2c_mou_6,R,0,,,,,
std_og_t2c_mou_7,R,0,,,,,
std_og_t2c_mou_8,R,0,,,,,
std_og_mou_6,F,16.16,,,,,
std_og_mou_7,F,37.99,,,,,
std_og_mou_8,F,4.6,,,,,
isd_og_mou_6,F,0,,,,,
isd_og_mou_7,F,0,,,,,
isd_og_mou_8,F,0,,,,,
spl_og_mou_6,F,14.95,,,,,
spl_og_mou_7,F,9.13,,,,,
spl_og_mou_8,F,25.61,,,,,
og_others_6,F,0,,,,,
og_others_7,F,0,,,,,
og_others_8,F,0,,,,,
total_og_mou_6,F,76.03,,,,,
total_og_mou_7,F,95.98,,,,,
total_og_mou_8,F,53.84,,,,,
loc_ic_t2t_mou_6,F,24.98,,,,,
loc_ic_t2t_mou_7,F,4.84,,,,,
loc_ic_t2t_mou_8,F,23.88,,,,,
loc_ic_t2m_mou_6,F,53.99,,,,,
loc_ic_t2m_mou_7,F,44.23,,,,,
loc_ic_t2m_mou_8,F,57.14,,,,,
loc_ic_t2f_mou_6,F,7.23,,,,,
loc_ic_t2f_mou_7,F,0.81,,,,,
loc_ic_t2f_mou_8,F,0,,,,,
loc_ic_mou_6,F,86.21,,,,,
loc_ic_mou_7,F,49.89,,,,,
loc_ic_mou_8,F,81.03,,,,,
std_ic_t2t_mou_6,F,0,,,,,
std_ic_t2t_mou_7,F,0,,,,,
std_ic_t2t_mou_8,F,0,,,,,
std_ic_t2m_mou_6,F,8.89,,,,,
std_ic_t2m_mou_7,F,0.28,,,,,
std_ic_t2m_mou_8,F,2.81,,,,,
std_ic_t2f_mou_6,F,0,,,,,
std_ic_t2f_mou_7,F,0,,,,,
std_ic_t2f_mou_8,F,0,,,,,
std_ic_t2o_mou_6,R,0,,,,,
std_ic_t2o_mou_7,R,0,,,,,
std_ic_t2o_mou_8,R,0,,,,,
std_ic_mou_6,F,8.89,,,,,
std_ic_mou_7,F,0.28,,,,,
std_ic_mou_8,F,2.81,,,,,
total_ic_mou_6,F,95.11,,,,,
total_ic_mou_7,F,50.18,,,,,
total_ic_mou_8,F,83.84,,,,,
spl_ic_mou_6,F,0,,,,,
spl_ic_mou_7,F,0,,,,,
spl_ic_mou_8,F,0,,,,,
isd_ic_mou_6,F,0,,,,,
isd_ic_mou_7,F,0,,,,,
isd_ic_mou_8,F,0,,,,,
ic_others_6,R,0,,,,,
ic_others_7,R,0,,,,,
ic_others_8,R,0,,,,,
total_rech_num_6,I,2,,,,,
total_rech_num_7,I,4,,,,,
total_rech_num_8,I,3,,,,,
total_rech_amt_6,I,160,,,,,
total_rech_amt_7,I,240,,,,,
total_rech_amt_8,I,130,,,,,
max_rech_amt_6,I,110,,,,,
max_rech_amt_7,I,110,,,,,
max_rech_amt_8,I,50,,,,,
date_of_last_rech_6,D,6/15/2014,,,,,
date_of_last_rech_7,D,7/21/2014,,,,,
date_of_last_rech_8,D,8/25/2014,,,,,
last_day_rch_amt_6,I,110,,,,,
last_day_rch_amt_7,I,110,,,,,
last_day_rch_amt_8,I,50,,,,,
date_of_last_rech_data_6,D,,,,,,
date_of_last_rech_data_7,D,,,,,,
date_of_last_rech_data_8,D,,,,,,
total_rech_data_6,I,,,,,,
total_rech_data_7,I,,,,,,
total_rech_data_8,I,,,,,,
max_rech_data_6,I,,,,,,
max_rech_data_7,I,,,,,,
max_rech_data_8,I,,,,,,
count_rech_2g_6,I,,,,,,
count_rech_2g_7,I,,,,,,
count_rech_2g_8,I,,,,,,
count_rech_3g_6,I,,,,,,
count_rech_3g_7,I,,,,,,
count_rech_3g_8,I,,,,,,
av_rech_amt_data_6,F,,,,,,
av_rech_amt_data_7,F,,,,,,
av_rech_amt_data_8,F,,,,,,
vol_2g_mb_6,F,0,,,,,
vol_2g_mb_7,F,0,,,,,
vol_2g_mb_8,F,0,,,,,
vol_3g_mb_6,F,0,,,,,
vol_3g_mb_7,F,0,,,,,
vol_3g_mb_8,F,0,,,,,
arpu_3g_6,F,,,,,,
arpu_3g_7,F,,,,,,
arpu_3g_8,F,,,,,,
arpu_2g_6,F,,,,,,
arpu_2g_7,F,,,,,,
arpu_2g_8,F,,,,,,
night_pck_user_6,C,,,,,,
night_pck_user_7,C,,,,,,
night_pck_user_8,C,,,,,,
monthly_2g_6,I,0,,,,,
monthly_2g_7,I,0,,,,,
monthly_2g_8,I,0,,,,,
sachet_2g_6,I,0,,,,,
sachet_2g_7,I,0,,,,,
sachet_2g_8,I,0,,,,,
monthly_3g_6,I,0,,,,,
monthly_3g_7,I,0,,,,,
monthly_3g_8,I,0,,,,,
sachet_3g_6,I,0,,,,,
sachet_3g_7,I,0,,,,,
sachet_3g_8,I,0,,,,,
fb_user_6,C,,,,,,
fb_user_7,C,,,,,,
fb_user_8,C,,,,,,
aon,I,982,,,,,
aug_vbc_3g,F,0,,,,,
jul_vbc_3g,F,0,,,,,
jun_vbc_3g,F,0,,,,,
churn_probability,C,0,,,,,
